Town,District,Number of patients
ABADA BARANA,Una,8
AMARPUR,Bilaspur,2
Arki,Solan,3
BADGAON,Bilaspur,4
BADSALA,Una,2
BALOH,Bilaspur,4
Bangana,Una,31
BANGARH,Una,2
BARARA,Hamirpur,1
BARGAON GALU,Bilaspur,2
BAROTA,Bilaspur,115
BARSAR,Hamirpur,228
BASARAL,Hamirpur,1
BASSI,Bilaspur,1
bassi pathana,Bilaspur,1
behra,darbanga,1
BERTHIN,Bilaspur,2
BHAPRAL,Bilaspur,1
BHARARI,Bilaspur,1
BHORANJ,Hamirpur,1
BIJHRI,Hamirpur,16
Bilaspur Sadar,Bilaspur,93
BINEWAL,Una,1
CHAKMOH,Hamirpur,3
CHALEHLI,Bilaspur,2
CHANGER,Una,1
DADHOL,Bilaspur,2
DADOO,Hamirpur,1
DEOLI,Bilaspur,1
DHANGOTA,Hamirpur,1
DHANI,Bilaspur,1
DOBHA,Bilaspur,1
GALIAN,Bilaspur,2
GANU MANDWARA,Una,3
GHANDALWIN,Bilaspur,1
GHUMARWIN,Bilaspur,144
HAMBOT,Bilaspur,4
Hamirpur,Hamirpur,43
HARNODA,Bilaspur,1
HATWAR,Bilaspur,1
HAWAN,Bilaspur,1
JAJRI,Hamirpur,1
JHABOLA,Bilaspur,1
JHALERA,Una,1
JHANDUTTA,Bilaspur,1151
JHANJHIANI,Hamirpur,2
KACHOULI,Bilaspur,1
KALLAR,Bilaspur,1
KALOL,Bilaspur,1
KANOH,Hamirpur,1
KATHIANA,Hamirpur,1
KHARKARI,Bilaspur,1
KHIAH LOHAKHRIAN,Hamirpur,1
KOSARIYAN,Bilaspur,5
LATHIANI,Una,2
LOHDER,Hamirpur,1
MALANGAN,Bilaspur,1
MALYOUR,Bilaspur,1
MARHANA,Bilaspur,2
Mehre,Una,15
MEHRI KATHLA,Bilaspur,4
MOR SINGHI,Bilaspur,1
MUNDKHAR,Hamirpur,1
NAGHIAR,Bilaspur,1
NALTI,Hamirpur,1
NANDHAN,Hamirpur,3
Ner Chowk,Mandi,1
NERI,Hamirpur,1
Other,Other,9
RAILY,Hamirpur,2
RANI KOTLA,Bilaspur,1
SADHRIAN,Hamirpur,2
SAMOH,Bilaspur,1
SARWINKHAS,Bilaspur,1
SHIVPUR,Una,2
shrinainadevi,Bilaspur,3
SUNHANI,Bilaspur,2
swarghat,Bilaspur,1
TALIANA,Bilaspur,23
UHAL,Hamirpur,1
